survey_date,ano_ref,dlsp_focus_med_pct_pib,numeroRespondentes
2018-01-02,2019,57.85,20
2018-01-02,2020,60.0,18
2018-01-02,2021,62.6,17
2018-01-03,2019,57.85,22
2018-01-03,2020,60.0,19
2018-01-03,2021,62.3,17
2018-01-04,2019,57.85,22
2018-01-04,2020,60.0,19
2018-01-04,2021,62.3,17
2018-01-05,2019,57.7,21
2018-01-05,2020,60.0,18
2018-01-05,2021,62.45,16
2018-01-08,2019,58.0,21
2018-01-08,2020,60.0,18
2018-01-08,2021,62.8,16
2018-01-09,2019,58.0,22
2018-01-09,2020,60.0,19
2018-01-09,2021,62.6,17
2018-01-10,2019,58.0,22
2018-01-10,2020,60.0,19
2018-01-10,2021,62.6,17
2018-01-11,2019,58.0,22
2018-01-11,2020,60.0,19
2018-01-11,2021,62.6,17
2018-01-12,2019,58.0,20
2018-01-12,2020,60.0,17
2018-01-12,2021,62.65,16
2018-01-15,2019,58.0,20
2018-01-15,2020,60.0,17
2018-01-15,2021,62.4,15
2018-01-16,2019,58.0,21
2018-01-16,2020,60.0,18
2018-01-16,2021,62.35,16
2018-01-17,2019,58.0,21
2018-01-17,2020,60.0,18
2018-01-17,2021,62.35,16
2018-01-18,2019,58.0,22
2018-01-18,2020,60.0,19
2018-01-18,2021,62.4,17
2018-01-19,2019,58.0,22
2018-01-19,2020,60.0,19
2018-01-19,2021,62.4,17
2018-01-22,2019,58.0,20
2018-01-22,2020,60.0,18
2018-01-22,2021,62.35,16
2018-01-22,2022,64.4,15
2018-01-22,2023,65.25,14
2018-01-22,2024,65.8,13
2018-01-22,2025,65.5,12
2018-01-23,2019,58.0,23
2018-01-23,2020,60.0,21
2018-01-23,2021,62.4,19
2018-01-23,2022,64.45,18
2018-01-23,2023,65.5,17
2018-01-23,2024,65.9,16
2018-01-23,2025,66.2,15
2018-01-24,2019,58.0,23
2018-01-24,2020,60.0,21
2018-01-24,2021,62.4,19
2018-01-24,2022,64.45,18
2018-01-24,2023,65.5,17
2018-01-24,2024,65.9,16
2018-01-24,2025,66.2,15
2018-01-25,2019,58.0,24
2018-01-25,2020,60.0,21
2018-01-25,2021,62.4,19
2018-01-25,2022,64.45,18
2018-01-25,2023,65.5,17
2018-01-25,2024,65.9,16
2018-01-25,2025,66.2,15
2018-01-26,2019,58.0,24
2018-01-26,2020,60.0,21
2018-01-26,2021,62.4,19
2018-01-26,2022,64.45,18
2018-01-26,2023,65.5,17
2018-01-26,2024,65.9,16
2018-01-26,2025,66.2,15
2018-01-29,2019,57.8,22
2018-01-29,2020,60.0,19
2018-01-29,2021,62.3,17
2018-01-29,2022,64.3,16
2018-01-29,2023,65.0,15
2018-01-29,2024,65.8,15
2018-01-29,2025,65.5,14
2018-01-30,2019,57.5,22
2018-01-30,2020,60.0,19
2018-01-30,2021,62.3,17
2018-01-30,2022,64.3,16
2018-01-30,2023,65.0,15
2018-01-30,2024,65.8,15
2018-01-30,2025,64.65,14
2018-01-31,2019,57.6,23
2018-01-31,2020,59.9,20
2018-01-31,2021,62.15,18
2018-01-31,2022,64.3,16
2018-01-31,2023,65.0,15
2018-01-31,2024,65.8,15
2018-01-31,2025,64.65,14
2018-02-01,2019,57.6,23
2018-02-01,2020,59.9,20
2018-02-01,2021,62.15,18
2018-02-01,2022,64.3,16
2018-02-01,2023,65.0,15
2018-02-01,2024,65.8,15
2018-02-01,2025,64.65,14
2018-02-02,2019,57.95,24
2018-02-02,2020,60.0,21
2018-02-02,2021,62.3,19
2018-02-02,2022,64.4,17
2018-02-02,2023,65.25,16
2018-02-02,2024,65.9,16
2018-02-02,2025,66.2,15
2018-02-05,2019,58.3,23
2018-02-05,2020,59.9,20
2018-02-05,2021,62.0,19
2018-02-05,2022,64.2,17
2018-02-05,2023,65.25,16
2018-02-05,2024,65.9,16
2018-02-05,2025,66.2,15
2018-02-06,2019,57.9,26
2018-02-06,2020,59.8,23
2018-02-06,2021,62.0,21
2018-02-06,2022,64.2,19
2018-02-06,2023,65.5,17
2018-02-06,2024,65.9,16
2018-02-06,2025,66.2,15
2018-02-07,2019,57.9,26
2018-02-07,2020,59.8,23
2018-02-07,2021,62.0,21
2018-02-07,2022,64.2,19
2018-02-07,2023,65.5,17
2018-02-07,2024,65.9,16
2018-02-07,2025,66.2,15
2018-02-08,2019,57.8,25
2018-02-08,2020,59.75,22
2018-02-08,2021,61.65,20
2018-02-08,2022,63.6,18
2018-02-08,2023,65.25,16
2018-02-08,2024,65.0,15
2018-02-08,2025,63.55,14
2018-02-09,2019,57.9,24
2018-02-09,2020,59.8,21
2018-02-09,2021,62.0,19
2018-02-09,2022,63.6,18
2018-02-09,2023,65.25,16
2018-02-09,2024,65.0,15
2018-02-09,2025,63.55,14
2018-02-14,2019,58.0,23
2018-02-14,2020,59.9,20
2018-02-14,2021,61.65,18
2018-02-14,2022,63.0,17
2018-02-14,2023,65.0,15
2018-02-14,2024,64.55,14
2018-02-14,2025,63.1,13
2018-02-15,2019,57.8,23
2018-02-15,2020,59.65,20
2018-02-15,2021,61.0,19
2018-02-15,2022,62.2,17
2018-02-15,2023,64.6,15
2018-02-15,2024,63.9,14
2018-02-15,2025,63.1,13
2018-02-16,2019,57.7,24
2018-02-16,2020,59.5,21
2018-02-16,2021,61.0,19
2018-02-16,2022,62.2,17
2018-02-16,2023,64.6,15
2018-02-16,2024,63.9,14
2018-02-16,2025,63.1,13
2018-02-19,2019,57.7,24
2018-02-19,2020,59.5,21
2018-02-19,2021,61.0,19
2018-02-19,2022,62.1,16
2018-02-19,2023,63.95,14
2018-02-19,2024,63.7,13
2018-02-19,2025,63.1,13
2018-02-20,2019,57.8,24
2018-02-20,2020,59.5,21
2018-02-20,2021,61.2,19
2018-02-20,2022,62.35,16
2018-02-20,2023,63.95,14
2018-02-20,2024,63.7,13
2018-02-20,2025,63.4,13
2018-02-21,2019,57.8,25
2018-02-21,2020,59.45,22
2018-02-21,2021,61.2,19
2018-02-21,2022,62.35,16
2018-02-21,2023,63.95,14
2018-02-21,2024,63.7,13
2018-02-21,2025,63.4,13
2018-02-22,2019,57.7,26
2018-02-22,2020,59.4,23
2018-02-22,2021,61.1,20
2018-02-22,2022,62.2,17
2018-02-22,2023,63.3,15
2018-02-22,2024,63.65,14
2018-02-22,2025,63.25,14
2018-02-23,2019,57.7,26
2018-02-23,2020,59.4,23
2018-02-23,2021,61.1,20
2018-02-23,2022,62.2,17
2018-02-23,2023,63.3,15
2018-02-23,2024,63.65,14
2018-02-23,2025,63.25,14
2018-02-26,2019,57.8,25
2018-02-26,2020,59.4,23
2018-02-26,2021,61.1,20
2018-02-26,2022,62.2,17
2018-02-26,2023,63.3,15
2018-02-26,2024,63.35,14
2018-02-26,2025,62.75,14
2018-02-27,2019,57.8,25
2018-02-27,2020,59.4,23
2018-02-27,2021,61.1,20
2018-02-27,2022,62.2,17
2018-02-27,2023,63.3,15
2018-02-27,2024,63.35,14
2018-02-27,2025,62.75,14
2018-02-28,2019,57.8,25
2018-02-28,2020,59.4,23
2018-02-28,2021,61.1,20
2018-02-28,2022,62.2,17
2018-02-28,2023,63.3,15
2018-02-28,2024,63.35,14
2018-02-28,2025,62.75,14
2018-03-01,2019,57.8,25
2018-03-01,2020,59.4,23
2018-03-01,2021,61.1,20
2018-03-01,2022,62.2,17
2018-03-01,2023,63.3,15
2018-03-01,2024,63.35,14
2018-03-01,2025,62.75,14
2018-03-02,2019,57.7,26
2018-03-02,2020,59.4,23
2018-03-02,2021,61.1,20
2018-03-02,2022,62.2,17
2018-03-02,2023,63.3,15
2018-03-02,2024,63.35,14
2018-03-02,2025,62.75,14
2018-03-05,2019,57.6,24
2018-03-05,2020,59.2,21
2018-03-05,2021,61.1,18
2018-03-05,2022,62.1,16
2018-03-05,2023,63.3,14
2018-03-05,2024,63.1,13
2018-03-05,2025,62.1,13
2018-03-06,2019,57.6,24
2018-03-06,2020,59.2,21
2018-03-06,2021,61.1,18
2018-03-06,2022,62.1,16
2018-03-06,2023,63.3,14
2018-03-06,2024,63.1,13
2018-03-06,2025,62.1,13
2018-03-07,2019,57.6,24
2018-03-07,2020,59.2,21
2018-03-07,2021,61.1,18
2018-03-07,2022,62.1,16
2018-03-07,2023,63.3,14
2018-03-07,2024,63.1,13
2018-03-07,2025,62.1,13
2018-03-08,2019,57.6,24
2018-03-08,2020,59.2,21
2018-03-08,2021,61.1,18
2018-03-08,2022,62.1,16
2018-03-08,2023,63.3,14
2018-03-08,2024,63.1,13
2018-03-08,2025,62.1,13
2018-03-09,2019,57.6,22
2018-03-09,2020,59.4,19
2018-03-09,2021,61.2,17
2018-03-09,2022,62.35,16
2018-03-09,2023,63.3,15
2018-03-09,2024,63.35,14
2018-03-09,2025,62.1,13
2018-03-12,2019,57.6,22
2018-03-12,2020,59.3,18
2018-03-12,2021,61.1,16
2018-03-12,2022,62.2,15
2018-03-12,2023,63.3,14
2018-03-12,2024,62.1,13
2018-03-12,2025,60.9,12
2018-03-13,2019,57.6,22
2018-03-13,2020,59.05,18
2018-03-13,2021,60.8,16
2018-03-13,2022,62.0,15
2018-03-13,2023,62.95,14
2018-03-13,2024,62.1,13
2018-03-13,2025,60.9,12
2018-03-14,2019,57.6,23
2018-03-14,2020,58.9,19
2018-03-14,2021,60.6,17
2018-03-14,2022,61.95,16
2018-03-14,2023,62.6,15
2018-03-14,2024,62.05,14
2018-03-14,2025,60.0,13
2018-03-15,2019,57.6,23
2018-03-15,2020,58.9,19
2018-03-15,2021,60.6,17
2018-03-15,2022,61.95,16
2018-03-15,2023,62.6,15
2018-03-15,2024,62.05,14
2018-03-15,2025,60.0,13
2018-03-16,2019,57.6,23
2018-03-16,2020,58.9,19
2018-03-16,2021,60.6,17
2018-03-16,2022,61.95,16
2018-03-16,2023,62.6,15
2018-03-16,2024,62.05,14
2018-03-16,2025,60.0,13
2018-03-19,2019,57.4,20
2018-03-19,2020,59.35,16
2018-03-19,2021,61.15,14
2018-03-19,2022,61.95,14
2018-03-19,2023,62.6,13
2018-03-19,2024,62.05,12
2018-03-19,2025,60.0,11
2018-03-20,2019,57.6,21
2018-03-20,2020,59.8,17
2018-03-20,2021,61.3,15
