survey_date,ano_ref,dlsp_focus_med_pct_pib,numeroRespondentes,dlsp_sgs_pct_pib,dlsp_sgs_yoy_pp,dlsp_sgs_data_obs,dlsp_divulgacao_aprox
2018-01-02,2019,57.85,20,54.7,,2019-12-01,2020-05-01
2018-01-02,2020,60.0,18,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-02,2021,62.6,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-03,2019,57.85,22,54.7,,2019-12-01,2020-05-01
2018-01-03,2020,60.0,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-03,2021,62.3,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-04,2019,57.85,22,54.7,,2019-12-01,2020-05-01
2018-01-04,2020,60.0,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-04,2021,62.3,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-05,2019,57.7,21,54.7,,2019-12-01,2020-05-01
2018-01-05,2020,60.0,18,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-05,2021,62.45,16,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-08,2019,58.0,21,54.7,,2019-12-01,2020-05-01
2018-01-08,2020,60.0,18,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-08,2021,62.8,16,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-09,2019,58.0,22,54.7,,2019-12-01,2020-05-01
2018-01-09,2020,60.0,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-09,2021,62.6,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-10,2019,58.0,22,54.7,,2019-12-01,2020-05-01
2018-01-10,2020,60.0,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-10,2021,62.6,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-11,2019,58.0,22,54.7,,2019-12-01,2020-05-01
2018-01-11,2020,60.0,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-11,2021,62.6,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-12,2019,58.0,20,54.7,,2019-12-01,2020-05-01
2018-01-12,2020,60.0,17,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-12,2021,62.65,16,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-15,2019,58.0,20,54.7,,2019-12-01,2020-05-01
2018-01-15,2020,60.0,17,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-15,2021,62.4,15,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-16,2019,58.0,21,54.7,,2019-12-01,2020-05-01
2018-01-16,2020,60.0,18,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-16,2021,62.35,16,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-17,2019,58.0,21,54.7,,2019-12-01,2020-05-01
2018-01-17,2020,60.0,18,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-17,2021,62.35,16,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-18,2019,58.0,22,54.7,,2019-12-01,2020-05-01
2018-01-18,2020,60.0,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-18,2021,62.4,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-19,2019,58.0,22,54.7,,2019-12-01,2020-05-01
2018-01-19,2020,60.0,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-19,2021,62.4,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-22,2019,58.0,20,54.7,,2019-12-01,2020-05-01
2018-01-22,2020,60.0,18,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-22,2021,62.35,16,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-22,2022,64.4,15,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-01-22,2023,65.25,14,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-01-22,2024,65.8,13,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-01-22,2025,65.5,12,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-01-23,2019,58.0,23,54.7,,2019-12-01,2020-05-01
2018-01-23,2020,60.0,21,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-23,2021,62.4,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-23,2022,64.45,18,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-01-23,2023,65.5,17,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-01-23,2024,65.9,16,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-01-23,2025,66.2,15,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-01-24,2019,58.0,23,54.7,,2019-12-01,2020-05-01
2018-01-24,2020,60.0,21,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-24,2021,62.4,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-24,2022,64.45,18,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-01-24,2023,65.5,17,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-01-24,2024,65.9,16,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-01-24,2025,66.2,15,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-01-25,2019,58.0,24,54.7,,2019-12-01,2020-05-01
2018-01-25,2020,60.0,21,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-25,2021,62.4,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-25,2022,64.45,18,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-01-25,2023,65.5,17,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-01-25,2024,65.9,16,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-01-25,2025,66.2,15,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-01-26,2019,58.0,24,54.7,,2019-12-01,2020-05-01
2018-01-26,2020,60.0,21,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-26,2021,62.4,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-26,2022,64.45,18,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-01-26,2023,65.5,17,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-01-26,2024,65.9,16,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-01-26,2025,66.2,15,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-01-29,2019,57.8,22,54.7,,2019-12-01,2020-05-01
2018-01-29,2020,60.0,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-29,2021,62.3,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-29,2022,64.3,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-01-29,2023,65.0,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-01-29,2024,65.8,15,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-01-29,2025,65.5,14,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-01-30,2019,57.5,22,54.7,,2019-12-01,2020-05-01
2018-01-30,2020,60.0,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-30,2021,62.3,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-30,2022,64.3,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-01-30,2023,65.0,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-01-30,2024,65.8,15,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-01-30,2025,64.65,14,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-01-31,2019,57.6,23,54.7,,2019-12-01,2020-05-01
2018-01-31,2020,59.9,20,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-01-31,2021,62.15,18,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-01-31,2022,64.3,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-01-31,2023,65.0,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-01-31,2024,65.8,15,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-01-31,2025,64.65,14,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-01,2019,57.6,23,54.7,,2019-12-01,2020-05-01
2018-02-01,2020,59.9,20,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-01,2021,62.15,18,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-01,2022,64.3,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-01,2023,65.0,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-01,2024,65.8,15,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-01,2025,64.65,14,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-02,2019,57.95,24,54.7,,2019-12-01,2020-05-01
2018-02-02,2020,60.0,21,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-02,2021,62.3,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-02,2022,64.4,17,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-02,2023,65.25,16,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-02,2024,65.9,16,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-02,2025,66.2,15,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-05,2019,58.3,23,54.7,,2019-12-01,2020-05-01
2018-02-05,2020,59.9,20,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-05,2021,62.0,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-05,2022,64.2,17,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-05,2023,65.25,16,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-05,2024,65.9,16,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-05,2025,66.2,15,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-06,2019,57.9,26,54.7,,2019-12-01,2020-05-01
2018-02-06,2020,59.8,23,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-06,2021,62.0,21,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-06,2022,64.2,19,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-06,2023,65.5,17,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-06,2024,65.9,16,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-06,2025,66.2,15,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-07,2019,57.9,26,54.7,,2019-12-01,2020-05-01
2018-02-07,2020,59.8,23,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-07,2021,62.0,21,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-07,2022,64.2,19,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-07,2023,65.5,17,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-07,2024,65.9,16,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-07,2025,66.2,15,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-08,2019,57.8,25,54.7,,2019-12-01,2020-05-01
2018-02-08,2020,59.75,22,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-08,2021,61.65,20,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-08,2022,63.6,18,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-08,2023,65.25,16,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-08,2024,65.0,15,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-08,2025,63.55,14,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-09,2019,57.9,24,54.7,,2019-12-01,2020-05-01
2018-02-09,2020,59.8,21,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-09,2021,62.0,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-09,2022,63.6,18,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-09,2023,65.25,16,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-09,2024,65.0,15,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-09,2025,63.55,14,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-14,2019,58.0,23,54.7,,2019-12-01,2020-05-01
2018-02-14,2020,59.9,20,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-14,2021,61.65,18,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-14,2022,63.0,17,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-14,2023,65.0,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-14,2024,64.55,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-14,2025,63.1,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-15,2019,57.8,23,54.7,,2019-12-01,2020-05-01
2018-02-15,2020,59.65,20,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-15,2021,61.0,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-15,2022,62.2,17,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-15,2023,64.6,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-15,2024,63.9,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-15,2025,63.1,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-16,2019,57.7,24,54.7,,2019-12-01,2020-05-01
2018-02-16,2020,59.5,21,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-16,2021,61.0,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-16,2022,62.2,17,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-16,2023,64.6,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-16,2024,63.9,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-16,2025,63.1,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-19,2019,57.7,24,54.7,,2019-12-01,2020-05-01
2018-02-19,2020,59.5,21,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-19,2021,61.0,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-19,2022,62.1,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-19,2023,63.95,14,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-19,2024,63.7,13,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-19,2025,63.1,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-20,2019,57.8,24,54.7,,2019-12-01,2020-05-01
2018-02-20,2020,59.5,21,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-20,2021,61.2,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-20,2022,62.35,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-20,2023,63.95,14,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-20,2024,63.7,13,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-20,2025,63.4,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-21,2019,57.8,25,54.7,,2019-12-01,2020-05-01
