ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;ibge_ano_disponivel_aprox;erro_prev_menos_real_pp;ipca_focus_ano_nresp;meta_centro;meta_inferior;meta_superior;desancoragem_centro;desancoragem_absoluta
2023;202301;2023-01;2023-01-30;5,8;4,62;2024-01-10;1,1799999999999997;111;3,25;1,75;4,75;2,55;2,55
2023;202302;2023-02;2023-02-27;5,9346;4,62;2024-01-10;1,3145999999999995;108;3,25;1,75;4,75;2,6845999999999997;2,6845999999999997
2023;202303;2023-03;2023-03-27;5,966;4,62;2024-01-10;1,346;96;3,25;1,75;4,75;2,716;2,716
2023;202304;2023-04;2023-04-24;6,0605;4,62;2024-01-10;1,4405000000000001;103;3,25;1,75;4,75;2,8105;2,8105
2023;202305;2023-05;2023-05-29;5,4913;4,62;2024-01-10;0,8712999999999997;71;3,25;1,75;4,75;2,2413;2,2413
2023;202306;2023-06;2023-06-26;4,9762;4,62;2024-01-10;0,3562000000000003;98;3,25;1,75;4,75;1,7262000000000004;1,7262000000000004
2023;202307;2023-07;2023-07-31;4,8096;4,62;2024-01-10;0,18959999999999955;102;3,25;1,75;4,75;1,5595999999999997;1,5595999999999997
2023;202308;2023-08;2023-08-28;4,9553;4,62;2024-01-10;0,33530000000000015;55;3,25;1,75;4,75;1,7053000000000003;1,7053000000000003
2023;202309;2023-09;2023-09-25;4,86;4,62;2024-01-10;0,2400000000000002;93;3,25;1,75;4,75;1,6100000000000003;1,6100000000000003
2023;202310;2023-10;2023-10-30;4,6004;4,62;2024-01-10;-0,019600000000000506;105;3,25;1,75;4,75;1,3503999999999996;1,3503999999999996
2023;202311;2023-11;2023-11-27;4,5483;4,62;2024-01-10;-0,07169999999999987;48;3,25;1,75;4,75;1,2983000000000002;1,2983000000000002
2023;202312;2023-12;2023-12-26;4,4547;4,62;2024-01-10;-0,16530000000000022;105;3,25;1,75;4,75;1,2046999999999999;1,2046999999999999
