ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2024;202401;2024-01;2024-01-29;3,8;4,83;-1,0300000000000002;5
2024;202402;2024-02;2024-02-26;3,781;4,83;-1,049;4
2024;202403;2024-03;2024-03-25;3,7152;4,83;-1,1148000000000002;4
2024;202404;2024-04;2024-04-29;3,6731;4,83;-1,1569000000000005;5
2024;202405;2024-05;2024-05-27;3,88;4,83;-0,9500000000000002;4
2024;202406;2024-06;2024-06-24;4,0;4,83;-0,8300000000000001;4
2024;202407;2024-07;2024-07-29;4,0921;4,83;-0,7378999999999998;5
2024;202408;2024-08;2024-08-26;4,2791;4,83;-0,5509000000000004;4
2024;202409;2024-09;2024-09-30;4,361;4,83;-0,4690000000000003;5
2024;202410;2024-10;2024-10-28;4,5681;4,83;-0,2618999999999998;4
2024;202411;2024-11;2024-11-25;4,6416;4,83;-0,1883999999999996;4
2024;202412;2024-12;2024-12-30;4,8458;4,83;0,0157999999999995;5
