ano_ref_ipca;mes_publicacao_yyyymm;mes_publicacao_ipca;survey_date_previsao_ipca;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;ibge_ano_disponivel_aprox;erro_prev_menos_real_pp_ipca;ipca_focus_ano_nresp;meta_centro;meta_inferior;meta_superior;desancoragem_centro;desancoragem_absoluta;ano_ref_selic;mes_publicacao_selic;survey_date_previsao_selic;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;selic_sgs_data_obs;erro_prev_menos_real_pp_selic;selic_focus_nresp;ano_ref;mes_publicacao;spread_selic_menos_ipca_pp;erro_ipca_prev_menos_real_pp;erro_selic_prev_menos_real_pp;mes_calendario;bloco
2019;201901;2019-01;2019-01-28;4,0;4,31;2020-01-10;-0,3099999999999996;33;4,25;2,75;5,75;-0,25;0,25;2019;2019-01;2019-01-28;6,75;R8/2019;4,5;2019-12-31;2,25;89;2019;2019-01;2,75;-0,3099999999999996;2,25;1;2019-2022
2019;201902;2019-02;2019-02-25;3,84;4,31;2020-01-10;-0,4699999999999997;36;4,25;2,75;5,75;-0,4100000000000001;0,4100000000000001;2019;2019-02;2019-02-25;6,5;R8/2019;4,5;2019-12-31;2,0;103;2019;2019-02;2,66;-0,4699999999999997;2,0;2;2019-2022
2019;201903;2019-03;2019-03-25;3,9;4,31;2020-01-10;-0,4099999999999997;35;4,25;2,75;5,75;-0,3500000000000001;0,3500000000000001;2019;2019-03;2019-03-25;6,5;R8/2019;4,5;2019-12-31;2,0;100;2019;2019-03;2,6;-0,4099999999999997;2,0;3;2019-2022
2019;201904;2019-04;2019-04-29;4,04;4,31;2020-01-10;-0,2699999999999996;37;4,25;2,75;5,75;-0,2099999999999999;0,2099999999999999;2019;2019-04;2019-04-29;6,5;R8/2019;4,5;2019-12-31;2,0;103;2019;2019-04;2,46;-0,2699999999999996;2,0;4;2019-2022
2019;201905;2019-05;2019-05-27;4,05;4,31;2020-01-10;-0,2599999999999998;58;4,25;2,75;5,75;-0,2000000000000001;0,2000000000000001;2019;2019-05;2019-05-27;6,5;R8/2019;4,5;2019-12-31;2,0;115;2019;2019-05;2,45;-0,2599999999999998;2,0;5;2019-2022
2019;201906;2019-06;2019-06-24;3,79;4,31;2020-01-10;-0,5199999999999996;47;4,25;2,75;5,75;-0,4599999999999999;0,4599999999999999;2019;2019-06;2019-06-24;5,75;R8/2019;4,5;2019-12-31;1,25;114;2019;2019-06;1,96;-0,5199999999999996;1,25;6;2019-2022
2019;201907;2019-07;2019-07-29;3,8;4,31;2020-01-10;-0,5099999999999998;81;4,25;2,75;5,75;-0,4500000000000002;0,4500000000000002;2019;2019-07;2019-07-29;5,5;R8/2019;4,5;2019-12-31;1,0;106;2019;2019-07;1,7000000000000002;-0,5099999999999998;1,0;7;2019-2022
2019;201908;2019-08;2019-08-26;3,55;4,31;2020-01-10;-0,7599999999999998;91;4,25;2,75;5,75;-0,7000000000000002;0,7000000000000002;2019;2019-08;2019-08-26;5,0;R8/2019;4,5;2019-12-31;0,5;101;2019;2019-08;1,4500000000000002;-0,7599999999999998;0,5;8;2019-2022
2019;201909;2019-09;2019-09-30;3,42;4,31;2020-01-10;-0,8899999999999997;53;4,25;2,75;5,75;-0,8300000000000001;0,8300000000000001;2019;2019-09;2019-09-30;4,75;R8/2019;4,5;2019-12-31;0,25;111;2019;2019-09;1,33;-0,8899999999999997;0,25;9;2019-2022
2019;201910;2019-10;2019-10-28;3,3;4,31;2020-01-10;-1,0099999999999998;97;4,25;2,75;5,75;-0,9500000000000002;0,9500000000000002;2019;2019-10;2019-10-28;4,5;R8/2019;4,5;2019-12-31;0,0;112;2019;2019-10;1,2000000000000002;-1,0099999999999998;0,0;10;2019-2022
