ref_yyyymm;mes_referencia;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
202201;2022-01;2022-01-31;0,55;0,54;0,01;5
202202;2022-02;2022-02-21;0,86;1,01;-0,15;3
202203;2022-03;2022-03-28;1,27;1,62;-0,3500000000000001;4
202204;2022-04;2022-04-25;0,9;1,06;-0,16;4
202205;2022-05;2022-05-30;0,58;0,47;0,1099999999999999;5
202206;2022-06;2022-06-27;0,715;0,67;0,0449999999999999;4
202207;2022-07;2022-07-25;-0,66;-0,68;0,02;4
202208;2022-08;2022-08-29;-0,35;-0,36;0,01;5
202209;2022-09;2022-09-26;-0,16;-0,29;0,1299999999999999;4
202210;2022-10;2022-10-31;0,449;0,59;-0,1409999999999999;5
202211;2022-11;2022-11-28;0,55;0,41;0,14;4
202212;2022-12;2022-12-26;0,45;0,62;-0,1699999999999999;4
