ref_yyyymm;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;ipca_focus_mensal_nresp
202201;2022-01-31;0,55;0,54;0,010000000000000009;107
202202;2022-02-21;0,86;1,01;-0,15000000000000002;94
202203;2022-03-28;1,27;1,62;-0,3500000000000001;77
202204;2022-04-25;0,9;1,06;-0,16000000000000003;102
202205;2022-05-30;0,58;0,47;0,10999999999999999;45
202206;2022-06-27;0,715;0,67;0,04499999999999993;48
202207;2022-07-25;-0,66;-0,68;0,020000000000000018;109
202208;2022-08-29;-0,35;-0,36;0,010000000000000009;63
202209;2022-09-26;-0,16;-0,29;0,12999999999999998;91
202210;2022-10-31;0,449;0,59;-0,14099999999999996;52
202211;2022-11-28;0,55;0,41;0,14000000000000007;45
202212;2022-12-26;0,45;0,62;-0,16999999999999998;95
