ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;pib_ibge_4tri_disponivel;erro_prev_menos_real_pp;pib_focus_ano_nresp;mes_calendario
2019;201901;2019-01;2019-01-28;2,5;1,2;2020-03-01;1,3;63;1
2019;201902;2019-02;2019-02-25;2,48;1,2;2020-03-01;1,28;65;2
2019;201903;2019-03;2019-03-25;2,0;1,2;2020-03-01;0,8;65;3
2019;201904;2019-04;2019-04-29;1,6;1,2;2020-03-01;0,4000000000000001;70;4
2019;201905;2019-05;2019-05-27;1,2;1,2;2020-03-01;0,0;81;5
2019;201906;2019-06;2019-06-24;0,86;1,2;2020-03-01;-0,3399999999999999;80;6
2019;201907;2019-07;2019-07-29;0,82;1,2;2020-03-01;-0,38;71;7
2019;201908;2019-08;2019-08-26;0,8;1,2;2020-03-01;-0,3999999999999999;68;8
2019;201909;2019-09;2019-09-30;0,87;1,2;2020-03-01;-0,3299999999999999;78;9
2019;201910;2019-10;2019-10-28;0,91;1,2;2020-03-01;-0,2899999999999999;76;10
2019;201911;2019-11;2019-11-25;0,99;1,2;2020-03-01;-0,2099999999999999;69;11
2019;201912;2019-12;2019-12-30;1,17;1,2;2020-03-01;-0,03;74;12
2020;202001;2020-01;2020-01-27;2,3;-3,3;2021-03-01;5,6;72;1
2020;202002;2020-02;2020-02-26;2,2;-3,3;2021-03-01;5,5;72;2
2020;202003;2020-03;2020-03-30;-0,84;-3,3;2021-03-01;2,46;82;3
2020;202004;2020-04;2020-04-27;-3,5;-3,3;2021-03-01;-0,2000000000000001;79;4
2020;202005;2020-05;2020-05-25;-6,05;-3,3;2021-03-01;-2,75;74;5
2020;202006;2020-06;2020-06-29;-6,59;-3,3;2021-03-01;-3,29;70;6
2020;202007;2020-07;2020-07-27;-5,76;-3,3;2021-03-01;-2,46;75;7
2020;202008;2020-08;2020-08-31;-5,2;-3,3;2021-03-01;-1,9000000000000004;73;8
2020;202009;2020-09;2020-09-28;-5,02;-3,3;2021-03-01;-1,7199999999999998;76;9
2020;202010;2020-10;2020-10-26;-4,82;-3,3;2021-03-01;-1,5200000000000005;81;10
2020;202011;2020-11;2020-11-30;-4,5;-3,3;2021-03-01;-1,2000000000000002;76;11
2020;202012;2020-12;2020-12-28;-4,35;-3,3;2021-03-01;-1,0499999999999998;69;12
2021;202101;2021-01;2021-01-25;3,49;4,8;2022-03-01;-1,3099999999999996;71;1
2021;202102;2021-02;2021-02-22;3,27;4,8;2022-03-01;-1,5299999999999998;72;2
2021;202103;2021-03;2021-03-29;3,18;4,8;2022-03-01;-1,6199999999999997;72;3
2021;202104;2021-04;2021-04-26;3,1689;4,8;2022-03-01;-1,6311;43;4
2021;202105;2021-05;2021-05-31;4,0043;4,8;2022-03-01;-0,7957000000000001;26;5
2021;202106;2021-06;2021-06-28;5,2986;4,8;2022-03-01;0,4986000000000006;31;6
2021;202107;2021-07;2021-07-26;5,2986;4,8;2022-03-01;0,4986000000000006;43;7
2021;202108;2021-08;2021-08-30;5,2338;4,8;2022-03-01;0,4337999999999997;24;8
2021;202109;2021-09;2021-09-27;5,0061;4,8;2022-03-01;0,2061000000000001;29;9
2021;202110;2021-10;2021-10-25;4,9343;4,8;2022-03-01;0,1343000000000005;58;10
2021;202111;2021-11;2021-11-29;4,7158;4,8;2022-03-01;-0,0842;27;11
2021;202112;2021-12;2021-12-27;4,5022;4,8;2022-03-01;-0,2977999999999996;34;12
2022;202201;2022-01;2022-01-31;0,2995;3,0;2023-03-01;-2,7005;56;1
2022;202202;2022-02;2022-02-21;0,3;3,0;2023-03-01;-2,7;60;2
2022;202203;2022-03;2022-03-28;0,6;3,0;2023-03-01;-2,4;35;3
2022;202204;2022-04;2022-04-25;0,6979;3,0;2023-03-01;-2,3021000000000003;66;4
2022;202205;2022-05;2022-05-30;1,2;3,0;2023-03-01;-1,8;31;5
2022;202206;2022-06;2022-06-27;1,4179;3,0;2023-03-01;-1,5821;35;6
2022;202207;2022-07;2022-07-25;1,9846;3,0;2023-03-01;-1,0154;65;7
2022;202208;2022-08;2022-08-29;2,1;3,0;2023-03-01;-0,8999999999999999;38;8
2022;202209;2022-09;2022-09-26;2,7249;3,0;2023-03-01;-0,2751000000000001;48;9
2022;202210;2022-10;2022-10-31;2,7613;3,0;2023-03-01;-0,2387000000000001;29;10
2022;202211;2022-11;2022-11-28;2,7649;3,0;2023-03-01;-0,2351000000000001;28;11
2022;202212;2022-12;2022-12-26;3,0509;3,0;2023-03-01;0,0508999999999999;53;12
