ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2019;201901;2019-01;2019-01-28;2,5;1,2;1,3;4
2019;201902;2019-02;2019-02-25;2,48;1,2;1,28;4
2019;201903;2019-03;2019-03-25;2,0;1,2;0,8;4
2019;201904;2019-04;2019-04-29;1,6;1,2;0,4000000000000001;5
2019;201905;2019-05;2019-05-27;1,2;1,2;0,0;4
2019;201906;2019-06;2019-06-24;0,86;1,2;-0,3399999999999999;4
2019;201907;2019-07;2019-07-29;0,82;1,2;-0,38;5
2019;201908;2019-08;2019-08-26;0,8;1,2;-0,3999999999999999;4
2019;201909;2019-09;2019-09-30;0,87;1,2;-0,3299999999999999;5
2019;201910;2019-10;2019-10-28;0,91;1,2;-0,2899999999999999;4
2019;201911;2019-11;2019-11-25;0,99;1,2;-0,2099999999999999;4
2019;201912;2019-12;2019-12-30;1,17;1,2;-0,03;5
