survey_date,tri_ref,ano_ref,pib_focus_trim_med_pct,numeroRespondentes
2018-07-02,1,2019,2.8,36
2018-07-02,2,2019,2.9,35
2018-07-02,3,2019,2.95,30
2018-07-03,1,2019,2.8,38
2018-07-03,2,2019,2.9,37
2018-07-03,3,2019,2.95,32
2018-07-04,1,2019,2.8,38
2018-07-04,2,2019,2.9,37
2018-07-04,3,2019,2.95,32
2018-07-05,1,2019,2.8,38
2018-07-05,2,2019,2.9,37
2018-07-05,3,2019,2.95,32
2018-07-06,1,2019,2.8,38
2018-07-06,2,2019,2.84,37
2018-07-06,3,2019,2.9,33
2018-07-09,1,2019,2.79,35
2018-07-09,2,2019,2.82,34
2018-07-09,3,2019,2.86,30
2018-07-10,1,2019,2.5,37
2018-07-10,2,2019,2.78,36
2018-07-10,3,2019,2.86,32
2018-07-11,1,2019,2.5,37
2018-07-11,2,2019,2.78,36
2018-07-11,3,2019,2.86,32
2018-07-12,1,2019,2.5,37
2018-07-12,2,2019,2.78,36
2018-07-12,3,2019,2.8,32
2018-07-13,1,2019,2.65,38
2018-07-13,2,2019,2.8,37
2018-07-13,3,2019,2.82,33
2018-07-16,1,2019,2.5,37
2018-07-16,2,2019,2.73,36
2018-07-16,3,2019,2.77,33
2018-07-17,1,2019,2.45,38
2018-07-17,2,2019,2.7,37
2018-07-17,3,2019,2.74,34
2018-07-18,1,2019,2.35,40
2018-07-18,2,2019,2.7,39
2018-07-18,3,2019,2.71,36
2018-07-19,1,2019,2.3,41
2018-07-19,2,2019,2.7,40
2018-07-19,3,2019,2.7,37
2018-07-20,1,2019,2.3,43
2018-07-20,2,2019,2.7,42
2018-07-20,3,2019,2.7,39
2018-07-23,1,2019,2.3,43
2018-07-23,2,2019,2.7,42
2018-07-23,3,2019,2.7,39
2018-07-24,1,2019,2.3,43
2018-07-24,2,2019,2.7,42
2018-07-24,3,2019,2.7,39
2018-07-25,1,2019,2.29,44
2018-07-25,2,2019,2.7,43
2018-07-25,3,2019,2.7,40
2018-07-26,1,2019,2.29,44
2018-07-26,2,2019,2.7,43
2018-07-26,3,2019,2.7,40
2018-07-27,1,2019,2.3,44
2018-07-27,2,2019,2.7,43
2018-07-27,3,2019,2.7,40
2018-07-30,1,2019,2.3,44
2018-07-30,2,2019,2.7,43
2018-07-30,3,2019,2.7,40
2018-07-31,1,2019,2.3,45
2018-07-31,2,2019,2.7,44
2018-07-31,3,2019,2.7,41
2018-08-01,1,2019,2.3,45
2018-08-01,2,2019,2.7,44
2018-08-01,3,2019,2.7,41
2018-08-02,1,2019,2.3,44
2018-08-02,2,2019,2.7,43
2018-08-02,3,2019,2.65,40
2018-08-03,1,2019,2.3,44
2018-08-03,2,2019,2.7,43
2018-08-03,3,2019,2.7,40
2018-08-06,1,2019,2.3,42
2018-08-06,2,2019,2.7,41
2018-08-06,3,2019,2.7,38
2018-08-07,1,2019,2.3,44
2018-08-07,2,2019,2.7,43
2018-08-07,3,2019,2.7,40
2018-08-08,1,2019,2.3,44
2018-08-08,2,2019,2.7,43
2018-08-08,3,2019,2.7,40
2018-08-09,1,2019,2.3,44
2018-08-09,2,2019,2.7,43
2018-08-09,3,2019,2.7,40
2018-08-10,1,2019,2.3,43
2018-08-10,2,2019,2.7,42
2018-08-10,3,2019,2.7,39
2018-08-13,1,2019,2.3,41
2018-08-13,2,2019,2.75,40
2018-08-13,3,2019,2.72,37
2018-08-14,1,2019,2.3,41
2018-08-14,2,2019,2.75,40
2018-08-14,3,2019,2.72,37
2018-08-15,1,2019,2.3,41
2018-08-15,2,2019,2.75,40
2018-08-15,3,2019,2.72,37
2018-08-16,1,2019,2.3,40
2018-08-16,2,2019,2.8,39
2018-08-16,3,2019,2.71,36
2018-08-17,1,2019,2.3,41
2018-08-17,2,2019,2.8,40
2018-08-17,3,2019,2.7,37
2018-08-20,1,2019,2.3,38
2018-08-20,2,2019,2.8,37
2018-08-20,3,2019,2.7,35
2018-08-21,1,2019,2.3,39
2018-08-21,2,2019,2.75,38
2018-08-21,3,2019,2.7,36
2018-08-22,1,2019,2.3,39
2018-08-22,2,2019,2.8,39
2018-08-22,3,2019,2.7,36
2018-08-23,1,2019,2.3,40
2018-08-23,2,2019,2.75,40
2018-08-23,3,2019,2.7,37
2018-08-24,1,2019,2.3,40
2018-08-24,2,2019,2.75,40
2018-08-24,3,2019,2.7,37
2018-08-27,1,2019,2.3,37
2018-08-27,2,2019,2.7,37
2018-08-27,3,2019,2.7,34
2018-08-28,1,2019,2.3,37
2018-08-28,2,2019,2.7,37
2018-08-28,3,2019,2.7,34
2018-08-29,1,2019,2.3,38
2018-08-29,2,2019,2.7,38
2018-08-29,3,2019,2.7,35
2018-08-30,1,2019,2.35,38
2018-08-30,2,2019,2.75,38
2018-08-30,3,2019,2.7,35
2018-08-31,1,2019,2.3,40
2018-08-31,2,2019,2.7,40
2018-08-31,3,2019,2.7,37
2018-08-31,4,2019,2.41,8
2018-09-03,1,2019,2.3,39
2018-09-03,2,2019,2.6,39
2018-09-03,3,2019,2.55,36
2018-09-03,4,2019,2.41,10
2018-09-04,1,2019,2.29,40
2018-09-04,2,2019,2.64,40
2018-09-04,3,2019,2.6,37
2018-09-04,4,2019,2.41,12
2018-09-05,1,2019,2.3,41
2018-09-05,2,2019,2.68,41
2018-09-05,3,2019,2.65,38
2018-09-05,4,2019,2.41,12
2018-09-06,1,2019,2.3,41
2018-09-06,2,2019,2.68,41
2018-09-06,3,2019,2.65,38
2018-09-06,4,2019,2.5,13
2018-09-10,1,2019,2.3,38
2018-09-10,2,2019,2.69,38
2018-09-10,3,2019,2.6,35
2018-09-10,4,2019,2.5,14
2018-09-11,1,2019,2.3,39
2018-09-11,2,2019,2.68,39
2018-09-11,3,2019,2.65,36
2018-09-11,4,2019,2.5,15
2018-09-12,1,2019,2.3,39
2018-09-12,2,2019,2.68,39
2018-09-12,3,2019,2.65,36
2018-09-12,4,2019,2.45,16
2018-09-13,1,2019,2.3,39
2018-09-13,2,2019,2.68,39
2018-09-13,3,2019,2.65,36
2018-09-13,4,2019,2.45,16
2018-09-14,1,2019,2.3,41
2018-09-14,2,2019,2.68,41
2018-09-14,3,2019,2.65,38
2018-09-14,4,2019,2.5,17
2018-09-17,1,2019,2.3,39
2018-09-17,2,2019,2.68,39
2018-09-17,3,2019,2.63,37
2018-09-17,4,2019,2.5,19
2018-09-18,1,2019,2.3,39
2018-09-18,2,2019,2.6,39
2018-09-18,3,2019,2.63,37
2018-09-18,4,2019,2.5,21
2018-09-19,1,2019,2.3,39
2018-09-19,2,2019,2.6,39
2018-09-19,3,2019,2.63,37
2018-09-19,4,2019,2.5,22
2018-09-20,1,2019,2.3,39
2018-09-20,2,2019,2.5,39
2018-09-20,3,2019,2.6,37
2018-09-20,4,2019,2.5,23
2018-09-21,1,2019,2.28,41
2018-09-21,2,2019,2.5,41
2018-09-21,3,2019,2.55,38
2018-09-21,4,2019,2.5,25
2018-09-24,1,2019,2.28,38
2018-09-24,2,2019,2.5,38
2018-09-24,3,2019,2.5,35
2018-09-24,4,2019,2.45,26
2018-09-25,1,2019,2.28,38
2018-09-25,2,2019,2.5,38
2018-09-25,3,2019,2.5,35
2018-09-25,4,2019,2.45,26
2018-09-26,1,2019,2.28,38
2018-09-26,2,2019,2.5,38
2018-09-26,3,2019,2.5,35
2018-09-26,4,2019,2.45,26
2018-09-27,1,2019,2.28,38
2018-09-27,2,2019,2.5,38
2018-09-27,3,2019,2.5,35
2018-09-27,4,2019,2.45,26
2018-09-28,1,2019,2.28,40
2018-09-28,2,2019,2.5,40
2018-09-28,3,2019,2.55,36
2018-09-28,4,2019,2.5,27
2018-10-01,1,2019,2.28,38
2018-10-01,2,2019,2.5,38
