ano_ref,tri_ref,pib_ibge_vol_yoy_trim_pct,pib_ibge_vol_qoq_pct,pib_ibge_vol_acum4_yoy_pct,pib_ibge_vol_ytd_yoy_pct
2019,1,0.9,0.3,1.5,0.9
2019,2,1.2,0.6,1.4,1.0
2019,3,1.1,0.0,1.2,1.1
2019,4,1.7,0.9,1.2,1.2
2020,1,0.4,-2.3,1.1,0.4
2020,2,-10.1,-8.9,-1.7,-4.9
2020,3,-3.0,7.9,-2.8,-4.3
2020,4,-0.3,3.8,-3.3,-3.3
2021,1,1.7,0.9,-2.9,1.7
2021,2,12.4,-0.7,2.4,6.8
2021,3,4.2,0.1,4.3,5.9
2021,4,1.5,1.3,4.8,4.8
2022,1,1.5,0.7,4.7,1.5
2022,2,3.5,1.1,2.7,2.5
2022,3,4.3,1.0,2.7,3.1
2022,4,2.7,0.4,3.0,3.0
2023,1,4.4,1.4,3.8,4.4
2023,2,3.9,0.8,3.8,4.1
2023,3,2.4,0.1,3.3,3.5
2023,4,2.4,0.3,3.2,3.2
2024,1,2.5,0.8,2.8,2.5
2024,2,3.5,1.7,2.7,3.0
2024,3,4.1,0.8,3.1,3.4
2024,4,3.6,0.0,3.4,3.4
2025,1,3.1,1.5,3.6,3.1
2025,2,2.4,0.3,3.3,2.7
2025,3,1.8,0.0,2.7,2.4
2025,4,1.8,0.1,2.3,2.3
