ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2025;202501;2025-01;2025-01-27;15,125;R8/2025;15,0;0,125;4
2025;202502;2025-02;2025-02-24;15,0;R8/2025;15,0;0,0;4
2025;202503;2025-03;2025-03-31;15,0;R8/2025;15,0;0,0;5
2025;202504;2025-04;2025-04-28;14,75;R8/2025;15,0;-0,25;4
2025;202505;2025-05;2025-05-26;14,75;R8/2025;15,0;-0,25;4
2025;202506;2025-06;2025-06-30;15,0;R8/2025;15,0;0,0;5
2025;202507;2025-07;2025-07-28;15,0;R8/2025;15,0;0,0;4
2025;202508;2025-08;2025-08-25;15,0;R8/2025;15,0;0,0;4
2025;202509;2025-09;2025-09-29;15,0;R8/2025;15,0;0,0;5
2025;202510;2025-10;2025-10-27;15,0;R8/2025;15,0;0,0;4
2025;202511;2025-11;2025-11-24;15,0;R8/2025;15,0;0,0;4
2025;202512;2025-12;2025-12-08;15,0;R8/2025;15,0;0,0;2
