Mes da Reuniao Copom (MM/AAAA),Codigo da Reuniao,Data do Boletim Focus,Selic Focus - Mediana (% a.a.),Selic SGS Realizada - Dezembro (% a.a.),Erro de Previsao (p.p.),Numero de Respondentes Focus
02/2019,R1/2019,2019-02-04,6.5,6.399933278118675,0.1000667218813253,106
05/2019,R3/2019,2019-05-06,6.5,6.399933278118675,0.1000667218813253,111
06/2019,R4/2019,2019-06-17,6.5,6.399933278118675,0.1000667218813253,113
07/2019,R5/2019,2019-07-29,6.25,6.399933278118675,-0.1499332781186746,106
09/2019,R6/2019,2019-09-16,5.5,5.399947466088717,0.1000525339112829,108
10/2019,R7/2019,2019-10-28,5.0,4.900034589700164,0.0999654102998359,112
12/2019,R8/2019,2019-12-09,4.5,4.400116023050438,0.0998839769495623,104
02/2020,R1/2020,2020-02-03,4.25,4.149997662787452,0.1000023372125475,107
05/2020,R3/2020,2020-05-04,3.25,2.9000330861635337,0.3499669138364663,105
06/2020,R4/2020,2020-06-15,2.25,2.1500824152896225,0.0999175847103774,104
07/2020,R5/2020,2020-07-27,2.0,2.1500824152896225,-0.1500824152896225,107
09/2020,R6/2020,2020-09-14,2.0,1.8999411926388765,0.1000588073611234,105
10/2020,R7/2020,2020-10-26,2.0,1.8999411926388765,0.1000588073611234,111
12/2020,R8/2020,2020-12-07,2.0,1.8999411926388765,0.1000588073611234,114
05/2021,R3/2021,2021-05-03,3.5,3.4000915787165464,0.0999084212834535,61
06/2021,R4/2021,2021-06-14,4.25,4.149997662787452,0.1000023372125475,85
07/2021,R5/2021,2021-07-26,5.25,4.149997662787452,1.1000023372125476,75
09/2021,R6/2021,2021-09-20,6.25,6.1501241343217,0.0998758656783005,93
10/2021,R7/2021,2021-10-25,7.5,7.649924620282245,-0.1499246202822446,98
12/2021,R8/2021,2021-12-06,9.25,9.14993146517089,0.1000685348291092,82
05/2022,R3/2022,2022-05-02,12.75,12.649937271499525,0.1000627285004771,84
06/2022,R4/2022,2022-06-13,13.25,13.149860316976111,0.1001396830238867,74
07/2022,R5/2022,2022-07-25,13.75,13.149860316976111,0.6001396830238868,90
09/2022,R6/2022,2022-09-19,13.75,13.649989315282562,0.1000106847174375,83
10/2022,R7/2022,2022-10-24,13.75,13.649989315282562,0.1000106847174375,78
12/2022,R8/2022,2022-12-05,13.75,13.649989315282562,0.1000106847174375,77
05/2023,R3/2023,2023-05-02,13.75,13.649989315282562,0.1000106847174375,87
06/2023,R4/2023,2023-06-19,13.75,13.649989315282562,0.1000106847174375,102
07/2023,R5/2023,2023-07-31,13.5,13.649989315282562,-0.1499893152825624,89
09/2023,R6/2023,2023-09-18,12.75,12.649937271499525,0.1000627285004771,103
10/2023,R7/2023,2023-10-30,12.25,12.649937271499525,-0.3999372714995228,91
12/2023,R8/2023,2023-12-11,11.75,11.649931856340622,0.100068143659378,93
05/2024,R3/2024,2024-05-06,10.5,10.400113309764912,0.0998866902350865,95
06/2024,R4/2024,2024-06-17,10.5,10.400113309764912,0.0998866902350865,101
07/2024,R5/2024,2024-07-29,10.5,10.400113309764912,0.0998866902350865,85
09/2024,R6/2024,2024-09-16,10.75,10.650127826691946,0.0998721733080536,102
10/2024,R7/2024,2024-10-28,11.25,10.650127826691946,0.5998721733080536,37
12/2024,R8/2024,2024-12-09,12.0,12.149954341558988,-0.1499543415589883,101
05/2025,R3/2025,2025-05-05,14.75,14.649931856394517,0.1000681436054833,94
06/2025,R4/2025,2025-06-16,14.75,14.899981434569275,-0.1499814345692769,96
07/2025,R5/2025,2025-07-28,15.0,14.899981434569275,0.100018565430723,81
09/2025,R6/2025,2025-09-15,15.0,14.899981434569275,0.100018565430723,101
10/2025,R7/2025,2025-10-27,15.0,14.899981434569275,0.100018565430723,93
12/2025,R8/2025,2025-12-08,15.0,14.899981434569275,0.100018565430723,82
06/2026,R4/2026,2026-06-08,14.25,14.150020022937992,0.0999799770620075,50
