Data do Boletim;Expectativa Focus Anual YTD (%);IBGE Realizado Acumulado Ano (%);Erro de Previsao (p.p.);Numero Respondentes
2021-01-04;3,32;10,06;-6,74;51,0
2021-02-01;3,62;10,06;-6,44;45,0
2021-03-01;3,97;10,06;-6,09;36,0
2021-04-05;4,8604;10,06;-5,1996;33,0
2021-05-03;5,1071;10,06;-4,9529000000000005;82,0
2021-06-07;5,5151;10,06;-4,5449;57,0
2021-07-05;6,2042;10,06;-3,8558000000000003;50,0
2021-08-02;6,8846;10,06;-3,1754000000000007;90,0
2021-09-06;7,7594;10,06;-2,3006;64,0
2021-10-04;8,7137;10,06;-1,3463000000000012;53,0
2021-11-01;9,4462;10,06;-0,6138000000000012;64,0
2021-12-06;10,1917;10,06;0,13170000000000037;93,0
