Mes de Referencia;Data Survey Focus;Focus Mediana (%);IBGE Realizado (%);Erro de Previsao (p.p.);Numero Respondentes
01/2021;2021-01-25;0,3;0,25;0,0499999999999999;45
02/2021;2021-02-22;0,68;0,86;-0,1799999999999999;107
03/2021;2021-03-29;1,0;0,93;0,0699999999999999;40
04/2021;2021-04-26;0,35;0,31;0,0399999999999999;96
05/2021;2021-05-31;0,69;0,83;-0,14;57
06/2021;2021-06-28;0,58;0,53;0,0499999999999999;64
07/2021;2021-07-26;0,93;0,96;-0,0299999999999999;97
08/2021;2021-08-30;0,685;0,87;-0,1849999999999999;58
09/2021;2021-09-27;1,2;1,16;0,04;61
10/2021;2021-10-25;0,8319;1,25;-0,4181;101
11/2021;2021-11-29;1,0658;0,95;0,1158000000000001;42
12/2021;2021-12-27;0,66;0,73;-0,0699999999999999;62
