Mes de Referencia;Data Survey Focus;Focus Expectativa Inicial (%);IBGE Realizado (%);Erro de Previsao (p.p.);Numero Respondentes
01/2021;2021-01-04;0,14;0,25;-0,1099999999999999;50
02/2021;2021-01-04;0,39;0,86;-0,47;50
03/2021;2021-01-04;0,28;0,93;-0,65;50
04/2021;2021-01-04;0,3;0,31;-0,01;49
05/2021;2021-01-04;0,2;0,83;-0,6299999999999999;48
06/2021;2021-01-04;0,21;0,53;-0,32;48
07/2021;2021-01-04;0,22;0,96;-0,74;48
08/2021;2021-01-04;0,18;0,87;-0,69;47
09/2021;2021-01-04;0,24;1,16;-0,92;47
10/2021;2021-01-04;0,29;1,25;-0,96;47
11/2021;2021-01-04;0,29;0,95;-0,6599999999999999;47
12/2021;2021-01-04;0,46;0,73;-0,2699999999999999;47
