survey_date;ipca_focus_ano_pct;ipca_year_ref;ipca_focus_ano_nresp;ipca_ibge_acum_ano_dez_pct;erro_prev_menos_real_pp;meta_centro;meta_inferior;meta_superior;desancoragem_centro;desancoragem_absoluta
2019-01-07;4,0;2019;21,0;;;4,25;2,75;5,75;-0,25;0,25
2019-02-04;3,89;2019;92,0;;;4,25;2,75;5,75;-0,3599999999999999;0,3599999999999999
2019-03-06;3,9;2019;38,0;;;4,25;2,75;5,75;-0,3500000000000001;0,3500000000000001
2019-04-01;3,87;2019;53,0;;;4,25;2,75;5,75;-0,3799999999999999;0,3799999999999999
2019-05-06;4,04;2019;97,0;;;4,25;2,75;5,75;-0,20999999999999996;0,20999999999999996
2019-06-03;3,99;2019;56,0;;;4,25;2,75;5,75;-0,2599999999999998;0,2599999999999998
2019-07-01;3,78;2019;45,0;;;4,25;2,75;5,75;-0,4700000000000002;0,4700000000000002
2019-08-05;3,77;2019;39,0;;;4,25;2,75;5,75;-0,48;0,48
2019-09-02;3,57;2019;36,0;;;4,25;2,75;5,75;-0,6800000000000002;0,6800000000000002
2019-10-07;3,42;2019;38,0;;;4,25;2,75;5,75;-0,8300000000000001;0,8300000000000001
2019-11-04;3,28;2019;45,0;;;4,25;2,75;5,75;-0,9700000000000002;0,9700000000000002
2019-12-02;3,64;2019;46,0;;;4,25;2,75;5,75;-0,6099999999999999;0,6099999999999999
2020-01-06;3,56;2020;46,0;;;4,0;2,5;5,5;-0,43999999999999995;0,43999999999999995
2020-02-03;3,39;2020;79,0;;;4,0;2,5;5,5;-0,6099999999999999;0,6099999999999999
2020-03-02;3,2;2020;68,0;;;4,0;2,5;5,5;-0,7999999999999998;0,7999999999999998
2020-04-06;2,48;2020;46,0;;;4,0;2,5;5,5;-1,52;1,52
2020-05-04;1,81;2020;84,0;;;4,0;2,5;5,5;-2,19;2,19
2020-06-01;1,55;2020;41,0;;;4,0;2,5;5,5;-2,45;2,45
2020-07-06;1,7;2020;50,0;;;4,0;2,5;5,5;-2,3;2,3
2020-08-03;1,61;2020;75,0;;;4,0;2,5;5,5;-2,3899999999999997;2,3899999999999997
2020-09-08;1,86;2020;43,0;;;4,0;2,5;5,5;-2,1399999999999997;2,1399999999999997
2020-10-05;2,32;2020;40,0;;;4,0;2,5;5,5;-1,6800000000000002;1,6800000000000002
2020-11-03;3,14;2020;35,0;;;4,0;2,5;5,5;-0,8599999999999999;0,8599999999999999
2020-12-07;4,25;2020;102,0;;;4,0;2,5;5,5;0,25;0,25
2021-01-04;3,32;2021;51,0;;;3,75;2,25;5,25;-0,43000000000000016;0,43000000000000016
2021-02-01;3,62;2021;45,0;;;3,75;2,25;5,25;-0,1299999999999999;0,1299999999999999
2021-03-01;3,97;2021;36,0;;;3,75;2,25;5,25;0,2200000000000002;0,2200000000000002
2021-04-05;4,8604;2021;33,0;;;3,75;2,25;5,25;1,1104000000000003;1,1104000000000003
2021-05-03;5,1071;2021;82,0;;;3,75;2,25;5,25;1,3571;1,3571
2021-06-07;5,5151;2021;57,0;;;3,75;2,25;5,25;1,7651000000000003;1,7651000000000003
2021-07-05;6,2042;2021;50,0;;;3,75;2,25;5,25;2,4542;2,4542
2021-08-02;6,8846;2021;90,0;;;3,75;2,25;5,25;3,1346;3,1346
2021-09-06;7,7594;2021;64,0;;;3,75;2,25;5,25;4,0094;4,0094
2021-10-04;8,7137;2021;53,0;;;3,75;2,25;5,25;4,963699999999999;4,963699999999999
2021-11-01;9,4462;2021;64,0;;;3,75;2,25;5,25;5,696199999999999;5,696199999999999
2021-12-06;10,1917;2021;93,0;;;3,75;2,25;5,25;6,441700000000001;6,441700000000001
2022-01-03;4,9788;2022;37,0;;;3,5;2,0;5,0;1,4787999999999997;1,4787999999999997
2022-02-07;5,3944;2022;45,0;;;3,5;2,0;5,0;1,8944;1,8944
2022-03-07;5,76;2022;57,0;;;3,5;2,0;5,0;2,26;2,26
2022-04-04;7,1533;2022;45,0;;;3,5;2,0;5,0;3,6532999999999998;3,6532999999999998
2022-05-02;7,99;2022;98,0;;;3,5;2,0;5,0;4,49;4,49
2022-06-06;8,9723;2022;45,0;;;3,5;2,0;5,0;5,472300000000001;5,472300000000001
2022-07-04;7,6359;2022;39,0;;;3,5;2,0;5,0;4,1359;4,1359
2022-08-01;7,1064;2022;102,0;;;3,5;2,0;5,0;3,6064;3,6064
2022-09-05;6,2385;2022;59,0;;;3,5;2,0;5,0;2,7385;2,7385
2022-10-03;5,6079;2022;66,0;;;3,5;2,0;5,0;2,1079;2,1079
2022-11-07;5,6853;2022;62,0;;;3,5;2,0;5,0;2,1853;2,1853
