ref_yyyymm;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;ipca_focus_mensal_nresp
201901;2019-01-28;0,4;0,32;0,08000000000000002;34
201902;2019-02-25;0,35;0,43;-0,08000000000000002;36
201903;2019-03-25;0,51;0,75;-0,24;36
201904;2019-04-29;0,6;0,57;0,030000000000000027;37
201905;2019-05-27;0,25;0,13;0,12;58
201906;2019-06-24;-0,02;0,01;-0,03;47
201907;2019-07-29;0,23;0,19;0,04000000000000001;81
201908;2019-08-26;0,12;0,11;0,009999999999999995;91
201909;2019-09-30;0,05;-0,04;0,09;53
201910;2019-10-28;0,07;0,1;-0,03;98
201911;2019-11-25;0,43;0,51;-0,08000000000000002;104
201912;2019-12-30;1,03;1,15;-0,11999999999999988;46
202001;2020-01-27;0,35;0,21;0,13999999999999999;87
202002;2020-02-26;0,15;0,25;-0,1;52
202003;2020-03-30;0,1;0,07;0,03;54
202004;2020-04-27;-0,14;-0,31;0,16999999999999998;39
202005;2020-05-25;-0,4;-0,38;-0,020000000000000018;50
202006;2020-06-29;0,25;0,26;-0,010000000000000009;51
202007;2020-07-27;0,37;0,36;0,010000000000000009;86
202008;2020-08-31;0,22;0,24;-0,01999999999999999;79
202009;2020-09-28;0,5;0,64;-0,14;51
202010;2020-10-26;0,8;0,86;-0,05999999999999994;98
202011;2020-11-30;0,75;0,89;-0,14;39
202012;2020-12-28;1,21;1,35;-0,14000000000000012;32
202101;2021-01-25;0,3;0,25;0,04999999999999999;45
202102;2021-02-22;0,68;0,86;-0,17999999999999994;107
202103;2021-03-29;1,0;0,93;0,06999999999999995;40
202104;2021-04-26;0,35;0,31;0,03999999999999998;96
202105;2021-05-31;0,69;0,83;-0,14;57
202106;2021-06-28;0,58;0,53;0,04999999999999993;64
202107;2021-07-26;0,93;0,96;-0,029999999999999916;97
202108;2021-08-30;0,685;0,87;-0,18499999999999994;58
202109;2021-09-27;1,2;1,16;0,040000000000000036;61
202110;2021-10-25;0,8319;1,25;-0,4181;101
202111;2021-11-29;1,0658;0,95;0,11580000000000013;42
202112;2021-12-27;0,66;0,73;-0,06999999999999995;62
202201;2022-01-31;0,55;0,54;0,010000000000000009;107
202202;2022-02-21;0,86;1,01;-0,15000000000000002;94
202203;2022-03-28;1,27;1,62;-0,3500000000000001;77
202204;2022-04-25;0,9;1,06;-0,16000000000000003;102
202205;2022-05-30;0,58;0,47;0,10999999999999999;45
202206;2022-06-27;0,715;0,67;0,04499999999999993;48
202207;2022-07-25;-0,66;-0,68;0,020000000000000018;109
202208;2022-08-29;-0,35;-0,36;0,010000000000000009;63
202209;2022-09-26;-0,16;-0,29;0,12999999999999998;91
202210;2022-10-31;0,449;0,59;-0,14099999999999996;52
202211;2022-11-28;0,55;0,41;0,14000000000000007;45
202212;2022-12-26;0,45;0,62;-0,16999999999999998;95
202301;2023-01-30;0,56;0,53;0,030000000000000027;109
202302;2023-02-27;0,77;0,84;-0,06999999999999995;107
202303;2023-03-27;0,78;0,71;0,07000000000000006;94
202304;2023-04-24;0,55;0,61;-0,05999999999999994;103
202305;2023-05-29;0,35;0,23;0,11999999999999997;70
202306;2023-06-26;-0,11;-0,08;-0,03;96
202307;2023-07-31;0,075;0,12;-0,045;101
202308;2023-08-28;0,27;0,23;0,04000000000000001;55
202309;2023-09-25;0,3646;0,26;0,10459999999999997;92
202310;2023-10-30;0,28;0,24;0,040000000000000036;105
202311;2023-11-27;0,29;0,28;0,009999999999999953;48
202312;2023-12-26;0,4;0,56;-0,16000000000000003;105
202401;2024-01-29;0,37;0,42;-0,04999999999999999;107
202402;2024-02-26;0,75;0,83;-0,07999999999999996;48
202403;2024-03-25;0,2;0,16;0,04000000000000001;95
202404;2024-04-29;0,32;0,38;-0,06;51
202405;2024-05-27;0,4095;0,46;-0,050500000000000045;111
202406;2024-06-24;0,34;0,21;0,13000000000000003;99
202407;2024-07-29;0,33;0,38;-0,04999999999999999;107
202408;2024-08-26;0,02;-0,02;0,04;103
202409;2024-09-30;0,46;0,44;0,020000000000000018;67
202410;2024-10-28;0,52;0,56;-0,040000000000000036;49
202411;2024-11-25;0,24;0,39;-0,15000000000000002;113
202412;2024-12-30;0,534;0,52;0,014000000000000012;54
202501;2025-01-27;0,1355;0,16;-0,024499999999999994;110
202502;2025-02-24;1,38;1,31;0,06999999999999984;103
202503;2025-03-31;0,56;0,56;0,0;58
202504;2025-04-28;0,44;0,43;0,010000000000000009;58
202505;2025-05-26;0,4;0,26;0,14;101
202506;2025-06-30;0,21;0,24;-0,03;65
202507;2025-07-28;0,34;0,26;0,08000000000000002;101
202508;2025-08-25;-0,16;-0,11;-0,05;107
202509;2025-09-29;0,55;0,48;0,07000000000000006;59
202510;2025-10-27;0,15;0,09;0,06;114
202511;2025-11-24;0,2;0,18;0,020000000000000018;92
202512;2025-12-29;0,35;0,33;0,019999999999999962;45
202601;2026-01-26;0,35;0,33;0,019999999999999962;109
202602;2026-02-23;0,44;0,7;-0,25999999999999995;114
202603;2026-03-30;0,7;0,88;-0,18000000000000005;69
202604;2026-04-27;0,72;0,67;0,04999999999999993;103
202605;2026-05-25;0,47;0,58;-0,10999999999999999;120
