survey_date;pib_focus_ano_pct;pib_year_ref;pib_ibge_4tri_yoy_pct;erro_prev_menos_real_pp
2019-01-02;2,53;2019;;
2019-02-01;2,5;2019;;
2019-03-01;2,3;2019;;
2019-04-01;1,99;2019;;
2019-05-02;1,51;2019;;
2019-06-03;1,07;2019;;
2019-07-01;0,84;2019;;
2019-08-01;0,82;2019;;
2019-09-02;0,87;2019;;
2019-10-01;0,87;2019;;
2019-11-01;0,92;2019;;
2019-12-02;1,0;2019;;
2020-01-02;2,3;2020;;
2020-02-03;2,3;2020;;
2020-03-02;2,13;2020;;
2020-04-01;-0,9;2020;;
2020-05-04;-3,98;2020;;
2020-06-01;-6,46;2020;;
2020-07-01;-6,59;2020;;
2020-08-03;-5,66;2020;;
2020-09-01;-5,41;2020;;
2020-10-01;-5,01;2020;;
2020-11-03;-4,81;2020;;
2020-12-01;-4,5;2020;;
2021-01-04;3,4;2021;;
2021-02-01;3,5;2021;;
2021-03-01;3,26;2021;;
2021-04-01;3,0308;2021;;
2021-05-03;3,1076;2021;;
2021-06-01;4,0827;2021;;
2021-07-01;5,3;2021;;
2021-08-02;5,3;2021;;
2021-09-01;5,0906;2021;;
2021-10-01;5,0897;2021;;
2021-11-01;4,9132;2021;;
2021-12-01;4,7023;2021;;
2022-01-03;0,287;2022;;
2022-02-01;0,2995;2022;;
2022-03-02;0,4988;2022;;
2022-04-01;0,6047;2022;;
2022-05-02;0,7686;2022;;
2022-06-01;1,39;2022;;
2022-07-01;1,511;2022;;
2022-08-01;1,9489;2022;;
2022-09-01;2,2658;2022;;
2022-10-03;2,7318;2022;;
2022-11-01;2,7621;2022;;
2022-12-01;3,0256;2022;;
2023-01-02;0,8;2023;;
2023-02-01;0,7982;2023;;
2023-03-01;0,8001;2023;;
2023-04-03;0,8475;2023;;
2023-05-02;1,0;2023;;
2023-06-01;1,7;2023;;
2023-07-03;2,183;2023;;
2023-08-01;2,2055;2023;;
2023-09-01;2,6644;2023;;
2023-10-02;2,9551;2023;;
2023-11-01;2,8264;2023;;
2023-12-01;2,8073;2023;;
2024-01-02;1,7504;2024;;
2024-02-01;1,6;2024;;
2024-03-01;1,8;2024;;
2024-04-01;1,9756;2024;;
2024-05-02;2,1427;2024;;
2024-06-03;2,1113;2024;;
2024-07-01;2,1116;2024;;
2024-08-01;2,195;2024;;
2024-09-02;2,4652;2024;;
2024-10-01;3,0249;2024;;
2024-11-01;3,1048;2024;;
2024-12-02;3,2892;2024;;
2025-01-02;2,1162;2025;;
2025-02-03;2,0;2025;;
2025-03-05;2,0114;2025;;
2025-04-01;1,9836;2025;;
2025-05-02;2,0026;2025;;
2025-06-02;2,2824;2025;;
2025-07-01;2,2579;2025;;
2025-08-01;2,2324;2025;;
2025-09-01;2,18;2025;;
2025-10-01;2,2;2025;;
2025-11-03;2,1804;2025;;
2025-12-01;2,14;2025;;
2026-01-02;1,7376;2026;;
2026-02-02;1,9;2026;;
2026-03-02;1,8346;2026;;
2026-04-01;1,85;2026;;
2026-05-04;1,8;2026;;
2026-06-01;1,9085;2026;;
