survey_date;selic_focus_ano_pct;selic_year_ref;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp
2019-01-02;7,0;2019;;
2019-02-01;6,5;2019;;
2019-03-01;6,5;2019;;
2019-04-01;6,5;2019;;
2019-05-02;6,5;2019;;
2019-06-03;6,5;2019;;
2019-07-01;5,5;2019;;
2019-08-01;5,5;2019;;
2019-09-02;5,0;2019;;
2019-10-01;4,75;2019;;
2019-11-01;4,5;2019;;
2019-12-02;4,5;2019;;
2020-01-02;4,5;2020;;
2020-02-03;4,25;2020;;
2020-03-02;4,25;2020;;
2020-04-01;3,25;2020;;
2020-05-04;2,75;2020;;
2020-06-01;2,25;2020;;
2020-07-01;2,0;2020;;
2020-08-03;2,0;2020;;
2020-09-01;2,0;2020;;
2020-10-01;2,0;2020;;
2020-11-03;2,0;2020;;
2020-12-01;2,0;2020;;
2021-01-04;3,25;2021;;
2021-02-01;3,5;2021;;
2021-03-01;4,0;2021;;
2021-04-01;5,5;2021;;
2021-05-03;5,5;2021;;
2021-06-01;6,0;2021;;
2021-07-01;6,625;2021;;
2021-08-02;7,0;2021;;
2021-09-01;7,5;2021;;
2021-10-01;8,25;2021;;
2021-11-01;9,25;2021;;
2021-12-01;9,25;2021;;
2022-01-03;11,75;2022;;
2022-02-01;12,0;2022;;
2022-03-02;12,25;2022;;
2022-04-01;12,75;2022;;
2022-05-02;13,25;2022;;
2022-06-01;13,25;2022;;
2022-07-01;13,75;2022;;
2022-08-01;14,0;2022;;
2022-09-01;13,75;2022;;
2022-10-03;13,75;2022;;
2022-11-01;13,75;2022;;
2022-12-01;13,75;2022;;
2023-01-02;12,25;2023;;
2023-02-01;12,5;2023;;
2023-03-01;12,75;2023;;
2023-04-03;12,5;2023;;
2023-05-02;12,5;2023;;
2023-06-01;12,5;2023;;
2023-07-03;12,0;2023;;
2023-08-01;12,0;2023;;
2023-09-01;11,75;2023;;
2023-10-02;11,75;2023;;
2023-11-01;11,75;2023;;
2023-12-01;11,75;2023;;
2024-01-02;9,0;2024;;
2024-02-01;9,0;2024;;
2024-03-01;9,0;2024;;
2024-04-01;9,0;2024;;
2024-05-02;9,5;2024;;
2024-06-03;10,25;2024;;
2024-07-01;10,5;2024;;
2024-08-01;10,5;2024;;
2024-09-02;10,75;2024;;
2024-10-01;11,75;2024;;
2024-11-01;11,75;2024;;
2024-12-02;12,0;2024;;
2025-01-02;15,0;2025;;
2025-02-03;15,0;2025;;
2025-03-05;15,0;2025;;
2025-04-01;15,0;2025;;
2025-05-02;14,75;2025;;
2025-06-02;14,75;2025;;
2025-07-01;15,0;2025;;
2025-08-01;15,0;2025;;
2025-09-01;15,0;2025;;
2025-10-01;15,0;2025;;
2025-11-03;15,0;2025;;
2025-12-01;15,0;2025;;
2026-01-02;12,0;2026;;
2026-02-02;12,0;2026;;
2026-03-02;12,0;2026;;
2026-04-01;12,5;2026;;
2026-05-04;13,0;2026;;
2026-06-01;13,25;2026;;
