survey_date,tri_ref,ano_ref,pib_focus_trim_med_pct,numeroRespondentes
2021-06-02,1,2023,2.8,3
2021-06-04,1,2023,2.52,10
2021-06-07,1,2023,2.52,12
2021-06-08,1,2023,2.52,12
2021-06-09,1,2023,2.4,17
2021-06-10,1,2023,2.2,16
2021-06-11,1,2023,2.45,18
2021-06-14,1,2023,2.45,18
2021-06-15,1,2023,2.45,18
2021-06-16,1,2023,2.52,14
2021-06-17,1,2023,2.54,13
2021-06-18,1,2023,2.4,11
2021-06-21,1,2023,2.0,10
2021-06-22,1,2023,2.0,11
2021-06-23,1,2023,2.0,12
2021-06-24,1,2023,2.0,13
2021-06-25,1,2023,2.12,11
2021-06-28,1,2023,2.16,12
2021-06-29,1,2023,2.12,11
2021-06-30,1,2023,2.12,11
2021-07-01,1,2023,2.12,9
2021-07-02,1,2023,2.0,7
2021-07-05,1,2023,2.0,7
2021-07-06,1,2023,2.0,9
2021-07-07,1,2023,2.0,9
2021-07-08,1,2023,2.12,11
2021-07-09,1,2023,2.26,12
2021-07-12,1,2023,2.26,12
2021-07-13,1,2023,2.41,10
2021-07-14,1,2023,2.41,12
2021-07-15,1,2023,2.4,9
2021-07-16,1,2023,2.26,14
2021-07-19,1,2023,2.12,13
2021-07-20,1,2023,2.12,13
2021-07-21,1,2023,2.4,13
2021-07-22,1,2023,2.45,16
2021-07-23,1,2023,2.25,18
2021-07-26,1,2023,2.25,18
2021-07-27,1,2023,2.25,18
2021-07-28,1,2023,2.4,17
2021-07-29,1,2023,2.4,15
2021-07-30,1,2023,2.42,15
2021-08-02,1,2023,2.41,14
2021-08-03,1,2023,2.41,14
2021-08-04,1,2023,2.4,11
2021-08-05,1,2023,2.5,13
2021-08-06,1,2023,2.5,7
2021-08-09,1,2023,2.47,10
2021-08-10,1,2023,2.47,10
2021-08-11,1,2023,2.47,10
2021-08-12,1,2023,2.2,10
2021-08-13,1,2023,2.0,13
2021-08-16,1,2023,2.18,12
2021-08-17,1,2023,2.18,12
2021-08-18,1,2023,2.2,13
2021-08-19,1,2023,2.4,11
2021-08-20,1,2023,2.18,10
2021-08-23,1,2023,2.16,11
2021-08-24,1,2023,2.16,11
2021-08-25,1,2023,2.1,11
2021-08-26,1,2023,2.05,10
2021-08-27,1,2023,2.2,9
2021-08-30,1,2023,2.4,9
2021-08-31,1,2023,2.4,11
2021-09-01,1,2023,2.4,11
2021-09-02,1,2023,2.36,12
2021-09-03,1,2023,2.4,15
2021-09-06,1,2023,2.36,14
2021-09-08,1,2023,2.4,13
2021-09-09,1,2023,2.4,13
2021-09-10,1,2023,2.2,15
2021-09-13,1,2023,2.2,11
2021-09-14,1,2023,2.2,13
2021-09-15,1,2023,2.1,15
2021-09-16,1,2023,2.0,17
2021-09-17,1,2023,2.0,21
2021-09-20,1,2023,2.0,21
2021-09-21,1,2023,2.0,21
2021-09-22,1,2023,2.0175,18
2021-09-23,1,2023,2.1,15
2021-09-24,1,2023,2.32,7
2021-09-27,1,2023,2.26,6
2021-09-28,1,2023,2.26,6
2021-09-29,1,2023,2.32,5
2021-09-30,1,2023,2.26,8
2021-10-01,1,2023,1.99,12
2021-10-04,1,2023,2.0,15
2021-10-05,1,2023,2.0,15
2021-10-06,1,2023,1.99,16
2021-10-07,1,2023,2.0,13
2021-10-08,1,2023,1.7572,12
2021-10-11,1,2023,1.5572,12
2021-10-13,1,2023,1.5572,12
2021-10-14,1,2023,1.6143,13
2021-10-15,1,2023,1.6143,15
2021-10-18,1,2023,2.1,14
2021-10-19,1,2023,1.811,13
2021-10-20,1,2023,2.0,15
2021-10-21,1,2023,1.811,15
2021-10-22,1,2023,1.26,25
2021-10-25,1,2023,1.23,24
2021-10-26,1,2023,1.26,23
2021-10-27,1,2023,1.23,22
2021-10-28,1,2023,1.26,21
2021-10-29,1,2023,1.1,11
2021-11-01,1,2023,1.1,10
2021-11-03,1,2023,1.38,14
2021-11-04,1,2023,1.26,13
2021-11-05,1,2023,1.3,21
2021-11-08,1,2023,1.5,21
2021-11-09,1,2023,1.5,20
2021-11-10,1,2023,1.23,18
2021-11-11,1,2023,1.26,19
2021-11-12,1,2023,1.3,12
2021-11-16,1,2023,1.4,11
2021-11-17,1,2023,1.4,15
2021-11-18,1,2023,1.4,17
2021-11-19,1,2023,1.2,28
2021-11-22,1,2023,1.2,28
2021-11-23,1,2023,1.2,27
2021-11-24,1,2023,1.2,22
2021-11-25,1,2023,1.2,20
2021-11-26,1,2023,1.2,14
2021-11-29,1,2023,1.4194,14
2021-11-30,1,2023,1.4194,14
2021-12-01,1,2023,1.4194,16
2021-12-02,1,2023,1.15,18
2021-12-03,1,2023,1.0,25
2021-12-06,1,2023,0.9833,28
2021-12-07,1,2023,1.0,31
2021-12-08,1,2023,1.0,30
2021-12-09,1,2023,1.0,27
2021-12-10,1,2023,1.0,19
2021-12-13,1,2023,1.0,15
2021-12-14,1,2023,0.6781,12
2021-12-15,1,2023,0.5562,13
2021-12-16,1,2023,0.6781,12
2021-12-17,1,2023,0.7781,18
2021-12-20,1,2023,0.885,22
2021-12-21,1,2023,0.885,22
2021-12-22,1,2023,0.826,24
2021-12-23,1,2023,0.9,31
2021-12-24,1,2023,0.876,24
2021-12-27,1,2023,0.9,21
2021-12-28,1,2023,1.0,23
2021-12-29,1,2023,1.0,26
2021-12-30,1,2023,1.2953,16
2021-12-31,1,2023,1.3905,11
2022-01-03,1,2023,1.3203,14
2022-01-04,1,2023,1.3203,14
2022-01-05,1,2023,1.085,12
2022-01-06,1,2023,1.175,12
2022-01-07,1,2023,0.86,18
2022-01-10,1,2023,0.6781,16
2022-01-11,1,2023,0.8,15
2022-01-12,1,2023,1.0,13
2022-01-13,1,2023,1.1,16
2022-01-14,1,2023,1.0,21
2022-01-17,1,2023,1.0,19
2022-01-18,1,2023,0.95,20
2022-01-19,1,2023,0.9,19
2022-01-20,1,2023,0.9,17
2022-01-21,1,2023,0.85,28
2022-01-24,1,2023,0.8,33
2022-01-25,1,2023,0.725,30
2022-01-26,1,2023,0.725,30
2022-01-27,1,2023,0.8,33
2022-01-28,1,2023,0.6,37
2022-01-31,1,2023,0.7,34
2022-02-01,1,2023,0.826,36
2022-02-02,1,2023,0.826,38
2022-02-03,1,2023,1.0,31
2022-02-04,1,2023,1.39,13
2022-02-07,1,2023,1.4,17
2022-02-08,1,2023,0.7865,20
2022-02-09,1,2023,0.923,21
2022-02-10,1,2023,0.923,23
2022-02-11,1,2023,0.8001,25
2022-02-14,1,2023,0.7251,28
2022-02-15,1,2023,0.83,25
2022-02-16,1,2023,0.8001,23
2022-02-17,1,2023,0.8001,23
2022-02-18,1,2023,0.67,40
2022-02-21,1,2023,0.575,40
2022-02-22,1,2023,0.575,42
2022-02-23,1,2023,0.575,42
2022-02-24,1,2023,0.575,40
