ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;pib_ibge_4tri_disponivel;erro_prev_menos_real_pp;pib_focus_ano_nresp
2019;201901;2019-01;2019-01-07;2,53;1,2;2020-03-01;1,3299999999999998;62
2019;201902;2019-02;2019-02-04;2,5;1,2;2020-03-01;1,3;69
2019;201903;2019-03;2019-03-06;2,3;1,2;2020-03-01;1,0999999999999999;64
2019;201904;2019-04;2019-04-01;1,99;1,2;2020-03-01;0,79;68
2019;201905;2019-05;2019-05-06;1,48;1,2;2020-03-01;0,28;76
2019;201906;2019-06;2019-06-03;1,07;1,2;2020-03-01;-0,1299999999999999;69
2019;201907;2019-07;2019-07-01;0,84;1,2;2020-03-01;-0,36;80
2019;201908;2019-08;2019-08-05;0,81;1,2;2020-03-01;-0,3899999999999999;74
2019;201909;2019-09;2019-09-02;0,87;1,2;2020-03-01;-0,32999999999999996;69
2019;201910;2019-10;2019-10-07;0,87;1,2;2020-03-01;-0,32999999999999996;76
2019;201911;2019-11;2019-11-04;0,92;1,2;2020-03-01;-0,2799999999999999;72
2019;201912;2019-12;2019-12-02;1,0;1,2;2020-03-01;-0,19999999999999996;71
2020;202001;2020-01;2020-01-06;2,3;-3,3;2021-03-01;5,6;66
2020;202002;2020-02;2020-02-03;2,3;-3,3;2021-03-01;5,6;72
2020;202003;2020-03;2020-03-02;2,13;-3,3;2021-03-01;5,43;76
2020;202004;2020-04;2020-04-06;-1,47;-3,3;2021-03-01;1,8299999999999998;79
2020;202005;2020-05;2020-05-04;-3,98;-3,3;2021-03-01;-0,6800000000000002;78
2020;202006;2020-06;2020-06-01;-6,46;-3,3;2021-03-01;-3,16;70
2020;202007;2020-07;2020-07-06;-6,5;-3,3;2021-03-01;-3,2;71
2020;202008;2020-08;2020-08-03;-5,66;-3,3;2021-03-01;-2,3600000000000003;75
2020;202009;2020-09;2020-09-08;-5,31;-3,3;2021-03-01;-2,01;73
2020;202010;2020-10;2020-10-05;-5,02;-3,3;2021-03-01;-1,7199999999999998;74
2020;202011;2020-11;2020-11-03;-4,81;-3,3;2021-03-01;-1,5099999999999998;81
2020;202012;2020-12;2020-12-07;-4,4;-3,3;2021-03-01;-1,1000000000000005;78
2021;202101;2021-01;2021-01-04;3,4;4,8;2022-03-01;-1,4;60
2021;202102;2021-02;2021-02-01;3,5;4,8;2022-03-01;-1,2999999999999998;73
2021;202103;2021-03;2021-03-01;3,26;4,8;2022-03-01;-1,54;71
2021;202104;2021-04;2021-04-05;3,0369;4,8;2022-03-01;-1,7630999999999997;20
2021;202105;2021-05;2021-05-03;3,1076;4,8;2022-03-01;-1,6923999999999997;34
2021;202106;2021-06;2021-06-07;4,9144;4,8;2022-03-01;0,11439999999999984;37
2021;202107;2021-07;2021-07-05;5,2953;4,8;2022-03-01;0,4953000000000003;25
2021;202108;2021-08;2021-08-02;5,3;4,8;2022-03-01;0,5;40
2021;202109;2021-09;2021-09-06;5,1396;4,8;2022-03-01;0,3395999999999999;40
2021;202110;2021-10;2021-10-04;5,0382;4,8;2022-03-01;0,23819999999999997;29
2021;202111;2021-11;2021-11-01;4,9132;4,8;2022-03-01;0,11319999999999997;32
2021;202112;2021-12;2021-12-06;4,6328;4,8;2022-03-01;-0,16720000000000024;54
2022;202201;2022-01;2022-01-03;0,287;3,0;2023-03-01;-2,713;24
2022;202202;2022-02;2022-02-07;0,4;3,0;2023-03-01;-2,6;27
2022;202203;2022-03;2022-03-07;0,5;3,0;2023-03-01;-2,5;46
2022;202204;2022-04;2022-04-04;0,6127;3,0;2023-03-01;-2,3872999999999998;28
2022;202205;2022-05;2022-05-02;0,7686;3,0;2023-03-01;-2,2314;52
2022;202206;2022-06;2022-06-06;1,4125;3,0;2023-03-01;-1,5875;36
2022;202207;2022-07;2022-07-04;1,5076;3,0;2023-03-01;-1,4924;25
2022;202208;2022-08;2022-08-01;1,9489;3,0;2023-03-01;-1,0511;52
2022;202209;2022-09;2022-09-05;2,5851;3,0;2023-03-01;-0,4148999999999998;45
2022;202210;2022-10;2022-10-03;2,7318;3,0;2023-03-01;-0,2682000000000002;41
2022;202211;2022-11;2022-11-07;2,7698;3,0;2023-03-01;-0,23019999999999996;44
2022;202212;2022-12;2022-12-05;3,0509;3,0;2023-03-01;0,050899999999999945;62
2023;202301;2023-01;2023-01-02;0,8;3,2;2024-03-01;-2,4000000000000004;25
2023;202302;2023-02;2023-02-06;0,7729;3,2;2024-03-01;-2,4271000000000003;32
2023;202303;2023-03;2023-03-06;0,8985;3,2;2024-03-01;-2,3015000000000003;37
2023;202304;2023-04;2023-04-03;0,8475;3,2;2024-03-01;-2,3525;33
2023;202305;2023-05;2023-05-02;1,0;3,2;2024-03-01;-2,2;63
2023;202306;2023-06;2023-06-05;2,1101;3,2;2024-03-01;-1,0899;43
2023;202307;2023-07;2023-07-03;2,183;3,2;2024-03-01;-1,0170000000000003;50
2023;202308;2023-08;2023-08-07;2,3023;3,2;2024-03-01;-0,8977000000000004;33
2023;202309;2023-09;2023-09-04;2,8207;3,2;2024-03-01;-0,3793000000000002;38
2023;202310;2023-10;2023-10-02;2,9551;3,2;2024-03-01;-0,24490000000000034;28
