ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;selic_sgs_data_obs;erro_prev_menos_real_pp;selic_focus_nresp;selic_meta_primeira_survey_pct
2019;201901;2019-01;2019-01-28;6,75;R8/2019;4,5;2019-12-31;2,25;89;6,5
2019;201902;2019-02;2019-02-25;6,5;R8/2019;4,5;2019-12-31;2,0;103;6,5
2019;201903;2019-03;2019-03-25;6,5;R8/2019;4,5;2019-12-31;2,0;100;6,5
2019;201904;2019-04;2019-04-29;6,5;R8/2019;4,5;2019-12-31;2,0;103;6,5
2019;201905;2019-05;2019-05-27;6,5;R8/2019;4,5;2019-12-31;2,0;115;6,5
2019;201906;2019-06;2019-06-24;5,75;R8/2019;4,5;2019-12-31;1,25;114;6,5
2019;201907;2019-07;2019-07-29;5,5;R8/2019;4,5;2019-12-31;1,0;106;6,5
2019;201908;2019-08;2019-08-26;5,0;R8/2019;4,5;2019-12-31;0,5;101;6,5
2019;201909;2019-09;2019-09-30;4,75;R8/2019;4,5;2019-12-31;0,25;111;6,5
2019;201910;2019-10;2019-10-28;4,5;R8/2019;4,5;2019-12-31;0,0;112;6,5
2019;201911;2019-11;2019-11-25;4,5;R8/2019;4,5;2019-12-31;0,0;109;6,5
2019;201912;2019-12;2019-12-09;4,5;R8/2019;4,5;2019-12-31;0,0;104;6,5
2020;202001;2020-01;2020-01-27;4,25;R8/2020;2,0;2020-12-31;2,25;103;4,5
2020;202002;2020-02;2020-02-26;4,25;R8/2020;2,0;2020-12-31;2,25;109;4,5
2020;202003;2020-03;2020-03-30;3,25;R8/2020;2,0;2020-12-31;1,25;111;4,5
2020;202004;2020-04;2020-04-27;3,0;R8/2020;2,0;2020-12-31;1,0;103;4,5
2020;202005;2020-05;2020-05-25;2,25;R8/2020;2,0;2020-12-31;0,25;107;4,5
2020;202006;2020-06;2020-06-29;2,0;R8/2020;2,0;2020-12-31;0,0;105;4,5
2020;202007;2020-07;2020-07-27;2,0;R8/2020;2,0;2020-12-31;0,0;107;4,5
2020;202008;2020-08;2020-08-31;2,0;R8/2020;2,0;2020-12-31;0,0;107;4,5
2020;202009;2020-09;2020-09-28;2,0;R8/2020;2,0;2020-12-31;0,0;100;4,5
2020;202010;2020-10;2020-10-26;2,0;R8/2020;2,0;2020-12-31;0,0;111;4,5
2020;202011;2020-11;2020-11-30;2,0;R8/2020;2,0;2020-12-31;0,0;106;4,5
2020;202012;2020-12;2020-12-07;2,0;R8/2020;2,0;2020-12-31;0,0;114;4,5
2021;202101;2021-01;2021-01-25;3,5;R8/2021;9,25;2021-12-31;-5,75;105;2,0
2021;202102;2021-02;2021-02-22;4,0;R8/2021;9,25;2021-12-31;-5,25;112;2,0
2021;202103;2021-03;2021-03-29;5,0;R8/2021;9,25;2021-12-31;-4,25;114;2,0
2021;202104;2021-04;2021-04-26;5,25;R8/2021;9,25;2021-12-31;-4,0;73;2,0
2021;202105;2021-05;2021-05-31;6,0;R8/2021;9,25;2021-12-31;-3,25;44;2,0
