survey_date;selic_year_ref;selic_focus_pct;reuniao;selic_focus_nresp;ref_yyyymm;ipca_focus_med_mensal_pct
2019-01-02;2019;7,0;R8/2019;100;201901;7,0
2019-01-03;2019;7,0;R8/2019;100;201901;7,0
2019-01-04;2019;7,0;R8/2019;99;201901;7,0
2019-01-07;2019;7,0;R8/2019;93;201901;7,0
2019-01-08;2019;7,0;R8/2019;93;201901;7,0
2019-01-09;2019;7,0;R8/2019;93;201901;7,0
2019-01-10;2019;7,0;R8/2019;94;201901;7,0
2019-01-11;2019;7,0;R8/2019;96;201901;7,0
2019-01-14;2019;7,0;R8/2019;97;201901;7,0
2019-01-15;2019;7,0;R8/2019;99;201901;7,0
2019-01-16;2019;7,0;R8/2019;99;201901;7,0
2019-01-17;2019;7,0;R8/2019;95;201901;7,0
2019-01-18;2019;7,0;R8/2019;100;201901;7,0
2019-01-21;2019;7,0;R8/2019;93;201901;7,0
2019-01-22;2019;7,0;R8/2019;93;201901;7,0
2019-01-23;2019;7,0;R8/2019;93;201901;7,0
2019-01-24;2019;7,0;R8/2019;93;201901;7,0
2019-01-25;2019;7,0;R8/2019;93;201901;7,0
2019-01-28;2019;6,75;R8/2019;89;201901;6,75
2019-01-29;2019;6,75;R8/2019;93;201901;6,75
2019-01-30;2019;6,75;R8/2019;95;201901;6,75
2019-01-31;2019;6,5;R8/2019;99;201901;6,5
2019-02-01;2019;6,5;R8/2019;105;201902;6,5
2019-02-04;2019;6,5;R8/2019;105;201902;6,5
2019-02-05;2019;6,5;R8/2019;105;201902;6,5
2019-02-06;2019;6,5;R8/2019;105;201902;6,5
2019-02-07;2019;6,5;R8/2019;105;201902;6,5
2019-02-08;2019;6,5;R8/2019;104;201902;6,5
2019-02-11;2019;6,5;R8/2019;104;201902;6,5
2019-02-12;2019;6,5;R8/2019;104;201902;6,5
2019-02-13;2019;6,5;R8/2019;104;201902;6,5
2019-02-14;2019;6,5;R8/2019;103;201902;6,5
2019-02-15;2019;6,5;R8/2019;104;201902;6,5
2019-02-18;2019;6,5;R8/2019;101;201902;6,5
2019-02-19;2019;6,5;R8/2019;101;201902;6,5
2019-02-20;2019;6,5;R8/2019;102;201902;6,5
2019-02-21;2019;6,5;R8/2019;102;201902;6,5
2019-02-22;2019;6,5;R8/2019;104;201902;6,5
2019-02-25;2019;6,5;R8/2019;103;201902;6,5
2019-02-26;2019;6,5;R8/2019;103;201902;6,5
2019-02-27;2019;6,5;R8/2019;103;201902;6,5
2019-02-28;2019;6,5;R8/2019;102;201902;6,5
2019-03-01;2019;6,5;R8/2019;101;201903;6,5
2019-03-06;2019;6,5;R8/2019;94;201903;6,5
2019-03-07;2019;6,5;R8/2019;97;201903;6,5
2019-03-08;2019;6,5;R8/2019;98;201903;6,5
2019-03-11;2019;6,5;R8/2019;100;201903;6,5
2019-03-12;2019;6,5;R8/2019;100;201903;6,5
2019-03-13;2019;6,5;R8/2019;100;201903;6,5
2019-03-14;2019;6,5;R8/2019;98;201903;6,5
2019-03-15;2019;6,5;R8/2019;102;201903;6,5
2019-03-18;2019;6,5;R8/2019;100;201903;6,5
2019-03-19;2019;6,5;R8/2019;100;201903;6,5
2019-03-20;2019;6,5;R8/2019;101;201903;6,5
2019-03-21;2019;6,5;R8/2019;101;201903;6,5
2019-03-22;2019;6,5;R8/2019;101;201903;6,5
2019-03-25;2019;6,5;R8/2019;100;201903;6,5
2019-03-26;2019;6,5;R8/2019;102;201903;6,5
2019-03-27;2019;6,5;R8/2019;103;201903;6,5
2019-03-28;2019;6,5;R8/2019;104;201903;6,5
2019-03-29;2019;6,5;R8/2019;105;201903;6,5
