data_obs,dbgg_sgs_pct_pib,ano_ref,mes
2019-01-01,75.44,2019,1
2019-02-01,75.52,2019,2
2019-03-01,76.71,2019,3
2019-04-01,77.12,2019,4
2019-05-01,76.55,2019,5
2019-06-01,76.67,2019,6
2019-07-01,76.83,2019,7
2019-08-01,77.55,2019,8
2019-09-01,76.6,2019,9
2019-10-01,75.79,2019,10
2019-11-01,76.2,2019,11
2019-12-01,74.44,2019,12
2020-01-01,74.75,2020,1
2020-02-01,75.15,2020,2
2020-03-01,76.78,2020,3
2020-04-01,78.03,2020,4
2020-05-01,79.95,2020,5
2020-06-01,82.87,2020,6
2020-07-01,83.5,2020,7
2020-08-01,85.83,2020,8
2020-09-01,87.42,2020,9
2020-10-01,87.66,2020,10
2020-11-01,86.96,2020,11
2020-12-01,86.94,2020,12
2021-01-01,86.91,2021,1
2021-02-01,86.87,2021,2
2021-03-01,85.1,2021,3
2021-04-01,82.62,2021,4
2021-05-01,81.44,2021,5
2021-06-01,80.6,2021,6
2021-07-01,80.25,2021,7
2021-08-01,79.64,2021,8
2021-09-01,79.62,2021,9
2021-10-01,79.52,2021,10
2021-11-01,78.22,2021,11
2021-12-01,77.31,2021,12
2022-01-01,77.0,2022,1
2022-02-01,76.92,2022,2
2022-03-01,76.4,2022,3
2022-04-01,76.33,2022,4
2022-05-01,75.68,2022,5
2022-06-01,75.61,2022,6
2022-07-01,75.24,2022,7
2022-08-01,74.56,2022,8
2022-09-01,74.15,2022,9
2022-10-01,73.7,2022,10
2022-11-01,72.95,2022,11
2022-12-01,71.68,2022,12
2023-01-01,71.38,2023,1
2023-02-01,71.77,2023,2
2023-03-01,71.54,2023,3
2023-04-01,71.57,2023,4
2023-05-01,72.11,2023,5
2023-06-01,71.97,2023,6
2023-07-01,72.48,2023,7
2023-08-01,72.89,2023,8
2023-09-01,73.01,2023,9
2023-10-01,73.32,2023,10
2023-11-01,73.32,2023,11
2023-12-01,73.83,2023,12
2024-01-01,74.47,2024,1
2024-02-01,74.81,2024,2
2024-03-01,75.02,2024,3
2024-04-01,75.15,2024,4
2024-05-01,75.67,2024,5
2024-06-01,76.68,2024,6
2024-07-01,77.21,2024,7
2024-08-01,77.36,2024,8
2024-09-01,77.09,2024,9
2024-10-01,77.38,2024,10
2024-11-01,77.5,2024,11
2024-12-01,76.27,2024,12
2025-01-01,75.48,2025,1
2025-02-01,75.78,2025,2
2025-03-01,75.55,2025,3
2025-04-01,75.62,2025,4
2025-05-01,75.75,2025,5
2025-06-01,76.3,2025,6
2025-07-01,77.18,2025,7
2025-08-01,77.31,2025,8
2025-09-01,77.84,2025,9
2025-10-01,78.29,2025,10
2025-11-01,78.96,2025,11
2025-12-01,78.64,2025,12
2026-01-01,78.7,2026,1
2026-02-01,79.12,2026,2
2026-03-01,79.88,2026,3
2026-04-01,80.19,2026,4
2026-05-01,81.07,2026,5
